osm_id,fclass,year
12388528,railway_station,2014
12388534,railway_station,2014
27117107,railway_station,2014
27117113,tram_stop,2014
27194776,tram_stop,2014
27233097,railway_station,2014
27233126,railway_station,2014
27332092,railway_station,2014
27333361,railway_station,2014
27362238,railway_station,2014
27372996,tram_stop,2014
29588070,railway_station,2014
30248710,railway_station,2014
89161291,railway_station,2014
90456140,railway_station,2014
90674268,railway_station,2014
91751890,railway_station,2014
96501780,railway_station,2014
96507065,railway_station,2014
96524454,railway_station,2014
125250587,bus_station,2014
134299001,railway_station,2014
134299013,railway_station,2014
137533248,railway_station,2014
165749271,bus_stop,2014
165749274,bus_stop,2014
165749279,bus_stop,2014
165767823,bus_stop,2014
165767826,bus_stop,2014
166004531,railway_station,2014
166004551,railway_station,2014
180968659,bus_stop,2014
180968671,bus_stop,2014
180968679,bus_stop,2014
180977991,bus_stop,2014
180978040,bus_stop,2014
181288957,bus_stop,2014
181288958,bus_stop,2014
181288960,bus_stop,2014
181288961,bus_stop,2014
181288962,bus_stop,2014
181783077,bus_stop,2014
181866765,bus_stop,2014
181866769,bus_stop,2014
181877185,bus_stop,2014
181877189,bus_stop,2014
196684126,bus_station,2014
198767925,bus_stop,2014
198781533,bus_stop,2014
201840383,railway_station,2014
210545408,tram_stop,2014
215485634,bus_stop,2014
231563348,railway_station,2014
233309865,bus_stop,2014
241781924,bus_stop,2014
241781925,bus_stop,2014
249524554,railway_station,2014
255000799,railway_station,2014
255161921,railway_station,2014
255162203,railway_station,2014
255687197,tram_stop,2014
261611258,bus_station,2014
261611470,railway_station,2014
264539964,railway_station,2014
264541617,railway_station,2014
264717964,railway_station,2014
269337980,railway_station,2014
269337982,railway_station,2014
275347714,bus_stop,2014
275348082,bus_stop,2014
275348409,bus_stop,2014
275348570,bus_stop,2014
275348608,bus_stop,2014
275348704,bus_stop,2014
275348785,bus_stop,2014
275348848,bus_stop,2014
280725613,tram_stop,2014
295442702,railway_station,2014
299458138,bus_stop,2014
299458139,bus_stop,2014
301560961,railway_station,2014
304962844,bus_station,2014
304962866,bus_station,2014
305117676,railway_station,2014
310276134,bus_stop,2014
310277675,bus_stop,2014
310280074,bus_stop,2014
314640918,tram_stop,2014
314890192,railway_station,2014
317275115,bus_stop,2014
317275220,bus_stop,2014
318534519,tram_stop,2014
318535652,tram_stop,2014
318535794,tram_stop,2014
318536130,tram_stop,2014
318536431,tram_stop,2014
355153536,railway_station,2014
360812810,bus_stop,2014
363574749,bus_stop,2014
363574757,bus_stop,2014
370455978,railway_station,2014
370833762,railway_station,2014
401909501,bus_stop,2014
401909511,bus_station,2014
415275831,railway_station,2014
415276337,railway_station,2014
415425544,bus_stop,2014
